"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"1011451","occ","","","123522","n. gen. Youngichthys n. sp. xinhuainsis","species","216682","obsolete variant of","Youngichthys xinghuainsis","species","216682","Changhsingian","","254.14","251.902","39725","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Youngichthys","715"
"1013442","occ","","","123976","Coelacanthiformes indet.","order","80820","","Coelacanthiformes","order","80820","Early Cenomanian","","100.5","93.9","39928","Chordata","Coelacanthimorpha","Coelacanthiformes","","","117"
"1039257","occ","","","127260","n. gen. Rebellatrix n. sp. divaricerca","species","233790","","Rebellatrix divaricerca","species","233790","Smithian","","249.9","248.1","41403","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","Rebellatricidae","Rebellatrix","652"
"1039258","occ","","","127261","Rebellatrix divaricerca","species","233790","","Rebellatrix divaricerca","species","233790","Smithian","","249.9","248.1","41403","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","Rebellatricidae","Rebellatrix","652"
"1039259","occ","","","127262","n. gen. Rebellatrix n. sp. divaricerca","species","233790","","Rebellatrix divaricerca","species","233790","Smithian","","249.9","248.1","41403","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","Rebellatricidae","Rebellatrix","652"
"1039260","occ","","","127263","Rebellatrix divaricerca","species","233790","","Rebellatrix divaricerca","species","233790","Smithian","","249.9","248.1","41403","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","Rebellatricidae","Rebellatrix","652"
"1052593","occ","","","130039","Coelacanthus granulatus","species","149735","","Coelacanthus granulatus","species","149735","Wuchiapingian","","259.51","254.14","42197","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Coelacanthus","716"
"1053466","occ","","","130275","Coelacanthus granulatus","species","149735","","Coelacanthus granulatus","species","149735","Wuchiapingian","","259.51","254.14","42223","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Coelacanthus","716"
"1053476","occ","","","130277","Coelacanthus granulatus","species","149735","","Coelacanthus granulatus","species","149735","Wuchiapingian","","259.51","254.14","42223","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Coelacanthus","716"
"1053479","occ","","","130278","Coelacanthus granulatus","species","149735","","Coelacanthus granulatus","species","149735","Wuchiapingian","","259.51","254.14","42223","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Coelacanthus","716"
"1053483","occ","","","130279","Coelacanthus granulatus","species","149735","","Coelacanthus granulatus","species","149735","Wuchiapingian","","259.51","254.14","42223","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Coelacanthus","716"
